locationname,locationaddress
Frost Park,2051 Kipling Ave
Fundy Bay Park,190 Fundy Bay Blvd
Futura Parkette,175 Arleta Ave
G. Ross Lord Park,4801 Dufferin St
Gaffney Park,73 Terry Dr
Galloway Park,90 Galloway Rd
Gamble Park,150 Gamble Ave
Garden Avenue Parkette,34 Garden Park Ave
Garland Park,65 John Garland Blvd
Garnier Park,4 Garnier Crt
Garrison Common,100 Garrison Rd
Garrison Creek Park,1090 Shaw St
Garthdale Parkette,88 A Garthdale Crt
Gateway Greenbelt,20 Gateway Blvd
Gateway Park,40 East Liberty St
Geary Avenue Parkette,115 Geary Ave
George Ben Park,120 Roxton Rd
George Chater Parkette,465 Windermere Ave
George Hislop Park,20 Isabella St
George Milbrandt Parkette,3101 Yonge St
George Webster Park,30 Chapman Ave
Gerrard - Carlaw Parkette,855 Gerrard St E
Gibson Park,30 Park Home Ave
Gideon Parkette,16 Gideon Crt
Gihon Spring Park,75 Gihon Spring Dr
Giltspur Park,85 Magellan Dr
Giovanni Caboto Park,69 Heathrow Dr
Gladhurst Park,2 Elhurst Crt
Glamorgan Park,50 Antrim Cres
Glasgow Parkette,11 Glasgow St
Glebe Manor Square,51 Harwood Rd
Gledhill Park,125 Gledhill Ave
Glen Agar Park,331 Martin Grove Rd
Glen Cedar Park,50 Glen Cedar Rd
Glen Edyth Drive Parkette,2 Glen Edyth Dr
Glen Long Park,35 Glen Long Ave
Glen Park,44 A Eastglen Cres
Glen Park Parkette,596 Glen Park Ave
Glen Ravine Park,50 Gilder Dr
Glen Rouge Campground,7450 Kingston Rd
Glen Sheppard Park,905 Danforth Rd
Glen Stewart Park,351 Glen Manor Dr
Glendora Park,201 Glendora Ave
Glenellen Parkette,63 Glenellen Dr E
Glenlake Square,516 Glenlake Ave
Glenn Gould Park,480 Avenue Rd
Glenview Parkette,60 Glenview Ave
Godstone Park,45 Godstone Rd
Goldhawk Park,250 Goldhawk Trl
Golf Club Parkette,78 Ferncroft Dr
Gord And Irene Risk Park,2650 Finch Ave W
Goulding Park,80 Patricia Ave
Grace - College Parkette,Grace St
Gracedale Park,186 Gracedale Blvd
Gracefield Park,175 Gracefield Ave
Grafton Avenue Park,23 Roncesvalles Ave
Graham Park,11 Atlas Ave
Grand Avenue Park,1 Grand Ave
Grandravine Park,23 Grandravine Dr
Grange Park,317 Dundas St W
Grattan Park,52 Grattan St
Graydon Hall Park,215 Graydon Hall Dr
Green Hills Park,1 A Paulson Rd
Green Meadows Park - Etobicoke York,20 Newstead Rd
Green Meadows Park - North York,100 Green Meadows Cir
Greenbelt Park,25 Jessie Dr
Greenbrae Parkette,100 Greenbrae Crct
Greenfield Park,10 Wilmar Rd
Greenvale Park,10 Greenvale Ter
Greenwood Park,150 Greenwood Ave
Grey Abbey Park,180 Greyabbey Trl
Grey Abbey Ravine,144 Greyabbey Trl
Grey Parkette,122 Grey Rd
Greystone Park,845 Danforth Rd
Guild Park and Gardens,201 Guildwood Pkwy
Guildwood Village Park,219 Livingston Rd
Gulliver Park,55 Gulliver Rd
Gustav Parkette,45 Gustav Cres
Gwendolen Park,3 Gwendolen Cres
Gwendolyn Macewen Parkette,33 Walmer Rd
Habitant Park,3383 Weston Rd
Hague Park,300 Bellamy Rd N
Haimer Park,46 Haimer Ave
Halbert Park,24 Rockwood Dr
Hampshire Heights Park,231 Martin Grove Rd
Haney Park,10 Haney Ave
Harbour Square Park Lands,25 Queens Quay W
Harding Park,59 Hearst Cir
Harlandale Parkette,206 Harlandale Ave
Harold Town Park,725 Church St
Harrison Park,Wimpole Dr
Harrison Properties,1845 Kingston Rd
Harryetta Gardens,170 Torresdale Ave
Hartfield Court Parkette,50 Hartfield Crt
Harvest Moon Park,70 Old Finch Ave
Harwood Park,51 Leigh St
Havenbrook Park,15 Havenbrook Blvd
Havendale Park,5 Belgreen Ave
Haverson Park,65 Woodenhill Crt
Hawksbury Park,1 A Hawksbury Dr
Healey Willan Park,504 Euclid Ave
Hearst Circle Parkette,108 Hearst Cir
Heart Park,1400 Avenue Rd
Hearthstone Valley Greenbelt,21 A Hearthstone Cres
Heather Heights Woods,125 Milford Haven Dr
Heathercrest Park,19 Storey Cres
Heathrow Park,69 Heathrow Dr
Hendon Park,50 Hendon Ave
Henrietta Park,1 A Henrietta St
Heron Park,292 Manse Rd
Hickorynut Parkette,87 Hickorynut Dr
Hidden Trail Park,506 Hidden Trl
Hideaway Park,23 Audley Ave
High Level Pumping Station And Park,300 Macpherson Ave
High Park,1873 Bloor St W
Highfield Park,68 Stevenson Rd
Highland Creek Community Park,3500 Ellesmere Rd
Highland Creek Parkette,6115 Kingston Rd
Highland Heights Park,50 Castle Hill Dr
Highview Park,150 Highview Ave
Hillcrest Park,950 Davenport Rd
Hilldowntree Parkette,16 Hilldowntree Rd
Hillhurst Parkette,254 Hillhurst Blvd
Hillingdon - Woodrow Parkette,64 Woodrow Ave
Hillmount Parkette,393 Hillmount Ave
Hillsborough Park,94 Corporate Dr
Hillsdale Avenue Parkette,32 Hillsdale Ave E
Hillside Park,185 Hillside Ave
Hinder Area,44 Don River Blvd
Hobart Park,39 Hobart Dr
Holley Park,2335 Weston Rd
Hollis - Kalmar Park,146 Kalmar Ave
Home Smith Park,4101 Dundas St W
Hoptree Park,15 Hoptree Ave
Horseley Hill Park,145 Horseley Hill Dr
Horsham Parkette,159 Horsham Ave
Horton Park,15 Oswego Rd
Howard Talbot Park,635 Eglinton Ave E
Hto Park,339 Queens Quay W
Hto Park West,375 Queens Quay W
Hullmar Park,97 Hullmar Dr
Humber Arboretum,955 Humberwood Blvd
Humber Bay Park East,100 Humber Bay Park Rd W
Humber Bay Park West,2225 Lake Shore Blvd W
Humber Bay Promenade Park,2195 Lake Shore Blvd W
Humber Bay Shores Park,15 Marine Parade Dr
Humber Gate Park,47 Turnvale Rd
Humber Marshes,2595 Bloor St W
Humber Sheppard Park,3100 Weston Rd
Humber Valley Golf Course,40 Beattie Ave
Humber Valley Park,54 Anglesey Blvd
Humberline Park,32 Humberline Dr
Humberside Grounds,230 Glendonwynne Rd
Humbertown Park,7 Wimbleton Rd
Humberview Park,30 Panorama Crt
Humberwood Park,850 Humberwood Blvd
Humewood Park,37 Humewood Dr
Hummingbird Park,40 Oasis Blvd
Hunters Glen Park,35 Marcos Blvd
Huntsmill Park,201 Huntsmill Blvd
Hupfield Park,85 Hupfield Trl
Huron - Washington Parkette,420 Huron St
Huron Street Playground,495 Huron St
Indian Line Park,655 Humberwood Blvd
Inglewood Heights Park,91 Allanford Rd
Inglewood Parkette,Inglewood Dr
Ionview Park,110 Ionview Rd
Ireland Park,5 Eireann Quay
Irene Avenue Parkette,760 Shaw St
Irma Burman Greenbelt Park,20 Tallpines Crt
Iroquois Park,295 Chartland Blvd S
Irving Paisley Park,2539 A Bayview Ave
Irving W. Chapley Park,205 Wilmington Ave
Isabella Valancy Crawford Park,299 Front St W
Islington Heights Park,26 A Bywood Dr
Islington Park,19 Franel Cres
Ivan Forrest Gardens,131 Glen Manor Dr
J.A. Leslie Tot Lot,425 Midland Ave
J.T. Watson Park,605 Ridelle Ave
Jack Evelyn Wiggins Park,51 Leitch Ave
Jack Goodlad Park,929 Kennedy Rd
Jackson Parkette,104 A The Kingsway
James Canning Gardens,15 Gloucester St
James Gardens,61 A Edgehill Rd
James Trimbee Park,25 Plainfield Rd
Janda Park,15 Quinella Dr
Jane Osler Park,Cartwright Ave
Janellan Ravine Park,199 Beechgrove Dr
Jay Macpherson Green,255 Avenue Rd
Jean Augustine Park,2115 Lake Shore Blvd W
Jean Sibelius Square,50 Kendal Ave
Jeanette Park,65 R Jeanette St
Jeff Healey Park,19 Delroy Dr
Jeff Sloan Playground,137 R Kingston Rd
Jennifer Kateryna Koval's'kyj Park,2 Polson St
Jesse Ketchum Park,1310 Bay St
Jim McPherson Park,1255 Victoria Park Ave
Jimmie Simpson Park,870 Queen St E
Joel Swirsky Parkette,20 Joel Swirsky Blvd
Joel Weeks Park,10 Thompson St
John Chang Neighbourhood Park,50 Colgate Ave
John Street Parkette,148 John St
John Tabor Park,240 John Tabor Trl
Jolly Miller Park,3995 Yonge St
Jonathan Ashbridge Park,1515 Queen St E
Joseph Bannon Park,65 Mary Chapman Blvd
Joseph Burr Tyrrell Park,10 Dalton Rd
Joseph Sheard Parkette,11 Granby St
Joseph Workman Park,90 Shank St
Joshua Cronkwright Parkette,504 Dawes Rd
Joyce Park,62 Joyce Pkwy
Joyce Trimmer Park,8450 Sheppard Ave E
Julius Deutsch Park,40 Cecil St
June Callwood Park,636 Fleet St
June Rowlands Park,220 Davisville Ave
Kay Gardner Beltline Park,378 Mount Pleasant Rd
Kay Park,32 Cathy Jean Cres
Keele - Mulock Parkette,595 Keele St
Keele Reservoir,4995 Keele St
Keelesdale North Park,415 Black Creek Dr
